fecha,cartera_total,patrimonio,deuda,tasa_politica_monetaria,interes_bancario_corriente,vehiculos_mensuales_estimados,ebt
2025-12-31,1938739437023.0,224534781297.0,1945762174207.0,9.25,16.68,25753.570130451404,3508844158.0
2026-01-31,1941301234972.0,225653157915.0,1939567791479.0,9.25,16.24,34935.811086743604,2018199894.0
2026-02-28,1934469751432.0,226485986119.0,1951842062297.0,10.214285714285714,16.82,33222.45399242005,3598247911.0
2026-03-31,1895983779682.0,228156098138.0,1901040609759.0,10.25,17.01,36606.315758100674,6041215201.0
2026-04-30,1910586218971.0,229589294776.0,1914151229637.0,11.25,17.84,34961.53079100231,3005960173.0
2026-05-31,1937478332797.0,231444837148.28,1932763813606.84,11.25,18.78,36590.36184023734,3248316301.2800007
2026-06-30,1982997739851.0,232977241243.52,1974053386419.25,11.25,19.189999999999998,35889.52653149603,2618840505.24
