fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2004-07-31,404679396760.0,28206401210.0,284078923010.0,83835608840.0,6257924930.0,2197644570.0,9578.379509766628,2239067430.0
2004-08-31,423288102100.0,28626245280.0,306341720770.0,85617851930.0,6408856110.0,1926016830.0,9364.182192398703,3200391350.0
2004-09-30,440132818620.0,29824243050.0,323960403750.0,87234839210.0,6653424900.0,2323120100.0,9246.841994055989,2758105160.0
2004-10-31,460165859690.0,32713926540.0,327528500100.0,88424877660.0,6831180980.0,2436996140.0,9489.844857149059,2066304480.0
2004-11-30,472095744620.0,31879636960.0,335875464810.0,90597851260.0,7003275190.0,2467493750.0,9983.204987980833,3346327210.0
2004-12-31,468013239180.0,31900027240.0,364342755520.0,92591273260.0,7196830250.0,2615590140.0,11728.97521085865,3505640340.0
2005-01-31,490232177170.0,36936687590.0,350083748530.0,94258435990.0,7200069460.0,2641502920.0,10274.77070763525,2807169730.0
2005-02-28,498395773890.0,38375146420.0,374709109740.0,96319079580.0,7298970820.0,2550312380.0,10421.426989642066,3210681020.0
2005-03-31,510306093400.0,47655491290.0,395026482270.0,98807010530.0,7651335660.0,2847591050.0,10398.842861726658,3799372420.0
2005-04-30,514738186240.0,45660831080.0,382863904510.0,100543876590.0,7733888530.0,2723420040.0,11444.290703297165,2773535520.0
2005-05-31,520103967440.0,41583675450.0,392645381550.0,103346640090.0,7812289520.0,2778453320.0,10943.2712438442,4332166120.0
2005-06-30,523419968680.0,30830149470.0,405528848270.0,106391289540.0,7714958930.0,2725942660.0,10767.427213687051,4797679080.0
2005-07-31,533204731610.0,32430357880.0,389739034560.0,108552207540.0,7780876580.0,2766111340.0,11455.685149642162,3488400700.0
2005-08-31,530258047220.0,33636698250.0,403517431350.0,111055082440.0,7746880370.0,2927951830.0,11151.679917698051,3897911380.0
2005-09-30,551404243380.0,31495357020.0,427461993550.0,113390756390.0,7640452710.0,2855103510.0,11143.259162989654,3725938040.0
2005-10-31,559344951860.0,30158365710.0,423247432240.0,115244921150.0,7651338490.0,2919426710.0,11502.6006302915,3109709290.0
2005-11-30,564210139910.0,33111220840.0,427573675210.0,117051797680.0,7644926110.0,2795582790.0,11507.15781226131,2870883500.0
2005-12-31,561876935790.0,27360350770.0,445220414290.0,117755616890.0,7586220550.0,2870416480.0,14215.587607284924,1158090740.0
2006-01-31,592305655560.0,31095304270.0,453331549920.0,119163424750.0,7551916860.0,2853713620.0,13629.4320741493,2456936100.0
2006-02-28,623946217940.0,31757915780.0,484814324830.0,121254852020.0,7690492560.0,2641773120.0,13795.921882360077,3390407950.0
2006-03-31,614948738090.0,33006127620.0,485360835560.0,123779496280.0,7852431050.0,2940239400.0,14157.193788543369,3779776700.0
2006-04-30,634388172280.0,38829640110.0,475726831900.0,126126148510.0,7709011010.0,2772117830.0,14998.480038295269,3744323080.0
2006-05-31,650865157540.0,34392206630.0,507625729680.0,128322947050.0,7756470310.0,2888558120.0,14723.044985411188,3458308040.0
2006-06-30,672915116520.0,36750875260.0,524866713190.0,130689462540.0,7676064840.0,2984953920.0,14715.443604556815,3722503450.0
2006-07-31,711666612710.0,33289476250.0,546049750000.0,132276599030.0,7771687620.0,3272721480.0,15740.944600785318,2829173550.0
2006-08-31,713847507940.0,31527305200.0,566145624840.0,134587363630.0,7938395070.0,3509520540.0,15301.261060413279,3426114490.0
2006-09-30,767550059600.0,33258078280.0,586612218470.0,136215385310.0,8132587470.0,3613202150.0,15588.019243380404,2820458940.0
2006-10-31,796942138200.0,32114921410.0,628925846810.0,137910753970.0,8447121140.0,3964097280.0,15759.990064485815,3010853850.0
2006-11-30,843013446000.0,36104817640.0,670878648500.0,138804076010.0,8497268370.0,4115755460.0,16112.436655333971,1862156300.0
2006-12-31,851282667660.0,38371165430.0,700415514580.0,139451335030.0,9037428000.0,4621296580.0,19341.832002285184,1679901230.0
